Depthmm,DepthCm,age_calBP,Ti,runningmeanTi,Ca,Carunningmean,Si,Sirunningmean,MnFe,MnFerunningmean,IncCoh,IncCohrunningmean,TiLog
10,1,-55,5.396923516,5.539043218,9.282436733,12.12887892,6.317355406,5.037522193,8.322447715,19.52018521,5472.953079,5478.950765,0.732146263
11,1.1,-55,5.237313599,5.533562178,9.250500779,12.15300432,8.624527042,5.017867849,6.359532661,19.73477692,5460.072772,5480.602145,0.719108579
12,1.2,-54,5.278129531,5.519175807,8.7063444,12.17311889,5.21206115,4.984931737,7.879924953,19.98886219,5489.447776,5484.31413,0.722480044
13,1.3,-54,4.935345528,5.497107003,8.530271444,12.19316765,5.347226488,4.981137199,6.818676027,20.20865478,5482.273084,5487.030387,0.693317563
14,1.4,-53,5.138311123,5.486843169,9.267001357,12.22082221,6.45324692,4.962855104,9.398100742,20.38833729,5457.585173,5489.833181,0.710820397
15,1.5,-53,5.067105377,5.466953445,9.420729067,12.22612799,6.130400901,4.944386614,7.5519991,20.53912818,5369.820706,5493.302143,0.704759936
16,1.6,-52,5.168792861,5.442641908,9.297710235,12.2256805,5.777086038,4.917450077,7.142857143,20.72502641,5440.747929,5497.926394,0.713389128
17,1.7,-52,5.488552255,5.427556164,9.629514258,12.23383465,5.451307298,4.907376113,9.542577171,20.8929719,5438.901589,5500.893728,0.739457803
18,1.8,-51,5.353340632,5.407755906,10.13574782,12.236219,4.970479383,4.885744544,7.047086149,21.04289876,5492.42217,5502.067209,0.728624878
19,1.9,-51,5.338926494,5.396282678,9.448674121,12.24512077,5.686229111,4.881529129,6.590887382,21.22569853,5478.236975,5501.71219,0.727453942
20,2,-51,4.953728532,5.386999006,9.226792074,12.25669057,5.259684006,4.866015831,13.49872309,21.41155174,5478.540476,5499.397391,0.694932203
21,2.1,-50,5.532281323,5.383353834,9.509783151,12.27792433,5.774895266,4.862563301,5.639072264,21.48848568,5483.779894,5495.258487,0.742904256
22,2.2,-50,5.048192092,5.37223895,9.240340445,12.29442034,4.579657864,4.856782918,7.575650101,21.65284078,5433.614375,5492.777921,0.703135872
23,2.3,-49,5.275527914,5.368948531,9.390367371,12.31398767,6.291582297,4.871066558,8.753506543,21.8485001,5417.3003,5492.474191,0.722265925
24,2.4,-49,4.703604537,5.357756989,9.000547014,12.32559445,1.619450682,4.856511059,10.9722123,22.03244298,5482.422594,5494.857951,0.672430801
25,2.5,-48,5.148982558,5.346236844,9.705668605,12.33181417,3.779069767,4.871606673,7.721155967,22.20582314,5390.286065,5498.286186,0.711721421
26,2.6,-48,4.846808147,5.328832044,10.18789827,12.33386772,5.369538006,4.869711668,9.097495054,22.41580575,5393.941077,5503.182189,0.685455829
27,2.7,-47,5.047506981,5.313792551,9.82806161,12.33706351,4.882418026,4.873673514,10.98204566,22.60282014,5413.025534,5507.967586,0.703076928
28,2.8,-47,5.137594241,5.294404091,10.08374696,12.33751224,2.819411474,4.865947933,12.41698756,22.73140688,5565.972896,5513.026346,0.710759801
29,2.9,-46,4.887595655,5.272824775,10.42410938,12.32924926,5.660774629,4.876221421,22.5641994,22.84144734,5534.298404,5516.575067,0.68909527
30,3,-46,4.522323246,5.246492521,10.9139639,12.30523154,2.951553806,4.841191218,21.86172166,22.88248285,5605.341246,5520.407193,0.655361602
