"","depth","upper_age","lower_age","Zea.mays","Hedyosmum","Rumex","Alnus","Cyperaceae","Cecropia","Asteraceae.1","Asteraceae..lig.","Sporormiella"
"1",0,-59,-53,0,26.3157894736842,0,34.2105263157895,13.1578947368421,0,15.7894736842105,0,10.5263157894737
"2",2.5,-53,-46,0,29.5774647887324,0,29.5774647887324,16.9014084507042,0,15.4929577464789,1.40845070422535,7.04225352112676
"3",5,-46,212,0,36.3636363636364,0,29.8701298701299,12.987012987013,1.2987012987013,11.6883116883117,0,7.79220779220779
"4",7.5,212,469,0,22.2222222222222,0,39.5061728395062,9.87654320987654,1.23456790123457,19.7530864197531,1.23456790123457,6.17283950617284
"5",10,469,535,0,11.6279069767442,0,59.6899224806201,13.953488372093,1.55038759689922,7.75193798449612,0,5.42635658914729
"6",12.5,535,600,0,15.3153153153153,0,62.1621621621622,6.30630630630631,0.900900900900901,6.30630630630631,0.900900900900901,8.10810810810811
"7",15,600,670,0,10.2040816326531,0,56.1224489795918,9.18367346938776,3.06122448979592,9.18367346938776,2.04081632653061,10.2040816326531
"8",17.5,670,740,0,13.75,0,48.75,6.25,1.25,15,0,15
"9",20,740,810,0,12.1621621621622,0,31.0810810810811,20.2702702702703,1.35135135135135,14.8648648648649,0,20.2702702702703
"10",22.5,810,881,1.05263157894737,7.36842105263158,0,51.5789473684211,8.42105263157895,1.05263157894737,12.6315789473684,1.05263157894737,16.8421052631579
"11",25,881,945,0,2.72727272727273,0,50.9090909090909,16.3636363636364,0.909090909090909,14.5454545454545,0,14.5454545454545
"12",27.5,945,1010,0,4.44444444444444,0,54.4444444444444,10,0,14.4444444444444,0,16.6666666666667
"13",30,1010,1050,0,5.61797752808989,0,44.9438202247191,23.5955056179775,1.12359550561798,8.98876404494382,0,15.7303370786517
"14",32.5,1050,1142,0,2.1505376344086,0,67.741935483871,6.45161290322581,0,8.60215053763441,0,15.0537634408602
"15",35,1142,1205,0,6.84931506849315,0,39.7260273972603,19.1780821917808,0,17.8082191780822,0,16.4383561643836
"16",37.5,1205,1267,0,13.7254901960784,0,44.1176470588235,7.84313725490196,0,17.6470588235294,0,16.6666666666667
"17",40,1267,1318,1.06382978723404,17.0212765957447,0,38.2978723404255,12.7659574468085,1.06382978723404,10.6382978723404,0,19.1489361702128
"18",42.5,1318,1368,0,8,0,61,10,0,8,0,13
"19",45,1368,1406,0,6.32911392405063,0,55.6962025316456,12.6582278481013,3.79746835443038,11.3924050632911,0,10.126582278481
"20",47.5,1406,1445,0,11.2068965517241,0,56.8965517241379,6.03448275862069,3.44827586206897,12.9310344827586,0,9.48275862068965
"21",50,1445,1483,0,16.8421052631579,0,47.3684210526316,14.7368421052632,1.05263157894737,12.6315789473684,0,7.36842105263158
"22",52.5,1483,1521,0,28.5714285714286,0,42.8571428571429,7.14285714285714,2.38095238095238,13.0952380952381,0,5.95238095238095
"23",55,1521,1561,1.23456790123457,24.6913580246914,0,41.9753086419753,9.87654320987654,2.46913580246914,14.8148148148148,0,4.93827160493827
"24",57.5,1561,1601,0,22.093023255814,0,45.3488372093023,3.48837209302326,0,19.7674418604651,0,9.30232558139535
"25",60,1601,1640,0.909090909090909,29.0909090909091,0.909090909090909,36.3636363636364,11.8181818181818,0,16.3636363636364,0,4.54545454545455
"26",62.5,1640,1680,0.833333333333333,20.8333333333333,0,59.1666666666667,8.33333333333333,0.833333333333333,6.66666666666667,0,3.33333333333333
"27",65,1680,1719,0,24,0,56,9,0,11,0,0
"28",67.5,1719,1758,0.909090909090909,28.1818181818182,0,45.4545454545455,10.9090909090909,0.909090909090909,10.9090909090909,0,2.72727272727273
"29",70,1758,1797,1.02040816326531,33.6734693877551,0,34.6938775510204,9.18367346938776,1.02040816326531,14.2857142857143,0,6.12244897959184
"30",72.5,1797,1836,0.909090909090909,33.6363636363636,0,46.3636363636364,4.54545454545455,0,10,0,4.54545454545455
"31",75,1836,1875,0.892857142857143,41.9642857142857,0,37.5,6.25,0.892857142857143,8.03571428571429,0,4.46428571428571
"32",77.5,1875,1914,1.96078431372549,28.4313725490196,0,47.0588235294118,4.90196078431373,0,14.7058823529412,0,2.94117647058824
