id,position,thickness,ages,ageSds ,calCurves
OS-136401,12.5,5,975,15,intcal20
OS-136402,42.5,5,1460,15,intcal20
OS-148493,149,5,2960,30,intcal20
OS-77533,221.2,5,3760,30,intcal20
BE-3518.1.1,21.15,5,157,78,intcal20
BE-3527.1.1,21.15,5,682,34,intcal20
BE-3519.1.1,55.45,5,317,22,intcal20
BE-3528.1.1,55.45,5,891,22,intcal20
BE-4778.1.1,59.5,5,332,44,intcal20
BE-4779.1.1,61.6,5,2378,235,intcal20
BE-10954.1.1,70,5,-24,63,intcal20
BE-4780.1.1,71.5,5,1274,171,intcal20
BE-10956.1.1,90,5,2239,85,intcal20
BE-10955.1.1,107.5,5,1781,68,intcal20
BE-3529.1.1,108.5 ,5,2248,23,intcal20
BE-4781.1.1,180.5,5,2923,356,intcal20
