"","depth","upper_age","lower_age","Monolete.psilate","Polypodium","Ophioglossum","Allantodia","Cyathea","Aspleniaceae","Asplenium","Cyclosorus","Selaginella","Trilete","Hymenophyllaceae","Pteris","Adiantum","Spore.47","Blechnum","Lophosoria","Isoetes","Acalypha","Alchornea","Amaranthaceae","Ambrosia","Caryophyllaceae","Celtis","Clethra","Melast.Combret","Meliaceae.Bruniaceae","Morac.Urtica","Myrica.Morella","Myrsine","Plantago","Poaceae","Podocarpus","Polylepis","Solanaceae","Symplocos","Thalictrum","Weinmannia","Valeriana","Vallea","Apiaceae","Eryngium..Apiaceae.","Psyllocarpus.Micrandra.","Licania","Virola","Aechmea","Rubiaceae..cf.Uncaria.","Rubiaceae..cf.Hoffmannia.","Aralia","Juglandaceae","Tricolp..8..Poma.","Pagamea..Rub.","Malanea..Rub.","Dodonaea..Sapind..","Brassicaceae","cf.Rubiaceae","Lamiaceae","cf.Rhamnaceae","Fagara..Rubiaceae.","Alseis","cf.Sapindaceae","Carapa..Meliaceae.","Piper","Uncaria.2","Myrtaceae"
"1",0,-59,-53,8.13559322033898,0.677966101694915,0.677966101694915,0.677966101694915,2.03389830508475,0.338983050847458,0.338983050847458,0.338983050847458,0,0.677966101694915,0,0,0.338983050847458,0.338983050847458,0.338983050847458,0,5.42372881355932,0.338983050847458,0.338983050847458,0.338983050847458,0,0.338983050847458,0.338983050847458,0.338983050847458,6.10169491525424,0.677966101694915,5.08474576271187,2.71186440677966,2.03389830508475,0,41.0169491525424,4.74576271186441,2.71186440677966,0,2.03389830508475,0,0,0.677966101694915,0,1.01694915254237,0,0,0.338983050847458,0.338983050847458,0.338983050847458,0.338983050847458,1.01694915254237,0,0,0,0,0.338983050847458,0.677966101694915,1.01694915254237,0.338983050847458,0,0,0,0.338983050847458,0,1.01694915254237,0,0,0.338983050847458
"2",2.5,-53,-46,6.33802816901408,1.05633802816901,1.40845070422535,0.704225352112676,0.704225352112676,0.352112676056338,0.352112676056338,0.352112676056338,0.352112676056338,0.704225352112676,0,0,0,0,0,0.352112676056338,4.57746478873239,0.352112676056338,0.352112676056338,0,0,0,0,0.704225352112676,3.16901408450704,0.352112676056338,5.28169014084507,1.05633802816901,3.52112676056338,0.352112676056338,51.056338028169,1.76056338028169,2.46478873239437,0.352112676056338,1.76056338028169,0.704225352112676,0,0.704225352112676,1.05633802816901,0.352112676056338,0,1.40845070422535,0,0.704225352112676,0,0,0,0,0.704225352112676,0,0.352112676056338,0,0.352112676056338,0.704225352112676,0.352112676056338,0.352112676056338,0.352112676056338,0.352112676056338,0,0,0.704225352112676,0,0,0
"3",5,-46,212,7.30897009966777,1.66112956810631,0.332225913621262,0.664451827242525,1.99335548172757,0.664451827242525,0,0.332225913621262,0.664451827242525,0,0.332225913621262,0,0.332225913621262,0.332225913621262,0.664451827242525,0.332225913621262,7.64119601328904,0.332225913621262,0.664451827242525,0.332225913621262,0,0.332225913621262,0,1.99335548172757,7.9734219269103,1.32890365448505,12.9568106312292,0.996677740863787,0,0.332225913621262,36.8770764119601,1.32890365448505,1.99335548172757,0,1.99335548172757,0,1.32890365448505,0.332225913621262,0.996677740863787,0.332225913621262,0,0.332225913621262,0,0,0.332225913621262,0.664451827242525,0,0,0.332225913621262,0,0,0.332225913621262,0,0.332225913621262,0.332225913621262,0,0,0,0.332225913621262,0,0,0.332225913621262,0,0
"4",7.5,212,469,11.9453924914676,1.36518771331058,0.341296928327645,0,0.68259385665529,0.341296928327645,1.02389078498294,0.68259385665529,0,0,0,0,0.341296928327645,0,0,0,6.14334470989761,0.341296928327645,1.70648464163823,0.68259385665529,0,0.341296928327645,0,0.341296928327645,7.16723549488055,0,5.11945392491468,0,2.38907849829352,0.341296928327645,39.2491467576792,1.02389078498294,3.07167235494881,1.36518771331058,3.7542662116041,0,0.68259385665529,1.36518771331058,1.36518771331058,0.341296928327645,0,0.68259385665529,0,1.02389078498294,0.341296928327645,0,0,0,0.341296928327645,0,0.68259385665529,0,0.68259385665529,0,0.68259385665529,0.341296928327645,0,0,0,0,0.341296928327645,0,0,0
"5",10,469,535,7.56302521008403,1.68067226890756,0.420168067226891,0,0.840336134453782,1.26050420168067,0.420168067226891,0.840336134453782,0.420168067226891,0.420168067226891,0,0.420168067226891,0.420168067226891,0,1.26050420168067,0,8.82352941176471,2.52100840336134,0.840336134453782,0,0,0.420168067226891,0.420168067226891,1.68067226890756,5.04201680672269,0.840336134453782,6.72268907563025,1.68067226890756,0.840336134453782,1.68067226890756,36.5546218487395,0.840336134453782,1.68067226890756,0,4.20168067226891,0,1.68067226890756,0.840336134453782,0.840336134453782,0.420168067226891,0,0.420168067226891,0,0.420168067226891,0,0.420168067226891,0,0,0.420168067226891,0,0,0,0,0.420168067226891,0.840336134453782,0,0,0,0,0.420168067226891,0.420168067226891,0,0,0
"6",12.5,535,600,10.989010989011,0.732600732600733,0.366300366300366,1.83150183150183,1.83150183150183,1.0989010989011,1.0989010989011,2.56410256410256,0.366300366300366,1.0989010989011,1.0989010989011,1.0989010989011,0.366300366300366,0,0,0,2.1978021978022,0.366300366300366,1.0989010989011,0.366300366300366,0,0.366300366300366,0.366300366300366,0.732600732600733,3.2967032967033,0,3.66300366300366,0,2.1978021978022,0.366300366300366,45.4212454212454,2.56410256410256,0.732600732600733,0.732600732600733,3.2967032967033,0,0.366300366300366,0,0.732600732600733,0.366300366300366,0,1.0989010989011,0,0,0,0.366300366300366,0,0,0,0.366300366300366,0.366300366300366,0,1.0989010989011,0,0,0.366300366300366,0,0,0,0,1.0989010989011,0,0,0
"7",15,600,670,11.4285714285714,0.357142857142857,0,1.07142857142857,0.714285714285714,1.07142857142857,0,0.357142857142857,0.357142857142857,0.714285714285714,0.714285714285714,0,0,0,1.42857142857143,1.42857142857143,4.64285714285714,1.07142857142857,0.357142857142857,0,0,0,0.357142857142857,0.357142857142857,2.5,0,6.07142857142857,0.357142857142857,0.357142857142857,0,51.7857142857143,1.42857142857143,2.14285714285714,0.714285714285714,2.5,0.714285714285714,0.357142857142857,1.07142857142857,0.357142857142857,0.714285714285714,0,0,0,0,0,0,0,0,0.357142857142857,0,0,0.357142857142857,0,0,0,0.357142857142857,0,0.357142857142857,0,0,0,0,0,0
"8",17.5,670,740,10.0649350649351,1.94805194805195,0.649350649350649,0.649350649350649,2.5974025974026,1.2987012987013,0.324675324675325,1.2987012987013,0.649350649350649,0.974025974025974,0.324675324675325,0,0,0.324675324675325,0,0,2.5974025974026,1.94805194805195,1.2987012987013,0,0,0,0.324675324675325,0.649350649350649,2.5974025974026,0.649350649350649,9.74025974025974,1.94805194805195,0.974025974025974,0,45.1298701298701,1.2987012987013,1.2987012987013,0,1.94805194805195,0.974025974025974,0.974025974025974,0.324675324675325,0.324675324675325,0.649350649350649,0,0,0,0.324675324675325,0.649350649350649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324675324675325,0
"9",20,740,810,12.1037463976945,1.72910662824208,0.576368876080692,3.45821325648415,2.30547550432277,1.15273775216138,0.288184438040346,2.30547550432277,0.576368876080692,0.864553314121038,0.864553314121038,0,0,0.288184438040346,0.864553314121038,0.576368876080692,1.44092219020173,1.72910662824208,0,0.288184438040346,0,0.288184438040346,0.288184438040346,1.15273775216138,2.01729106628242,0,13.8328530259366,0,0.288184438040346,0.576368876080692,37.1757925072046,0.864553314121038,0.576368876080692,1.15273775216138,2.01729106628242,1.15273775216138,0.576368876080692,0.576368876080692,0.576368876080692,0.576368876080692,0,0.288184438040346,0,1.15273775216138,0,0,0,0,0,0,0,0,0,0,0,0.288184438040346,0,0,0,0,0.288184438040346,0,0,0
"10",22.5,810,881,6.39097744360902,1.12781954887218,0.37593984962406,0.75187969924812,0.75187969924812,0.37593984962406,1.12781954887218,0,0.37593984962406,0,1.12781954887218,0,0,0,0,0,4.51127819548872,0.75187969924812,0.75187969924812,0,0.37593984962406,0,0.37593984962406,4.13533834586466,3.7593984962406,0,5.26315789473684,2.63157894736842,1.8796992481203,1.12781954887218,46.9924812030075,1.8796992481203,3.38345864661654,1.50375939849624,3.38345864661654,0.75187969924812,0.75187969924812,0.37593984962406,0,0.75187969924812,0,0,0,0,0,0,0,0,0,0,0,0,0.75187969924812,0,0.37593984962406,0,0,0.37593984962406,0,0,0.75187969924812,0,0,0
