"depth","upper_age","lower_age","PrC"
0,-59,-53,0.682147970120763
2.5,-53,-46,0.753457800117093
5,-46,212,0.793501076156986
7.5,212,469,0.7055163686697
10,469,535,0.156069229088405
12.5,535,600,0.157181903079337
15,600,670,0.230739948647119
17.5,670,740,0.514204732060124
20,740,810,1.26113748390013
22.5,810,881,0.404834225438785
25,881,945,0.360010270586678
27.5,945,1010,0.360010270586678
30,1010,1050,0.391519833434061
32.5,1050,1142,0.341214648637888
35,1142,1205,0.433098628893255
37.5,1205,1267,0.510574609685211
40,1267,1318,0.522925666035637
42.5,1318,1368,0.283924053315017
45,1368,1406,0.292268824263057
47.5,1406,1445,0.218664835493328
50,1445,1483,0.621181989410035
52.5,1483,1521,0.73114448219464
55,1521,1561,1.01687542850225
57.5,1561,1601,0.647807759294824
60,1601,1640,0.985292542497926
62.5,1640,1680,0.0219799874366082
65,1680,1719,0
67.5,1719,1758,0.982690786596809
70,1758,1797,0.941547725852728
72.5,1797,1836,0.944657989770197
75,1836,1875,0.891564808351083
77.5,1875,1914,0.979839115392054
80,1914,1953,0
82.5,1953,1992,0.927087335282625
85,1992,2030,0.824778967324672
87.5,2030,2068,0.82483444249043
90,2068,2106,0.860065126261076
92.5,2106,2144,0.81891227057595
95,2144,2183,0.692244759407502
97.5,2183,2222,0.830678352862305
100,2222,2261,0.101209868703094
102.5,2261,2299,1.51024228868377
105,2299,2338,0.907259848574783
107.5,2338,2377,0.860065126261076
110,2377,2415,0.848695722529715
112.5,2415,2454,0.864195933319752
115,2454,2493,0.861584190175971
117.5,2493,2533,1.59728949751751
120,2533,2571,1.55928327369523
122.5,2571,2609,1.58770374911677
125,2609,2650,1.76393300744836
127.5,2650,2690,1.46954534955153
130,2690,2727,0.831139977498702
132.5,2727,2765,0.928592806890325
135,2765,2804,0.643282870846752
137.5,2804,2842,0.611506063760406
140,2842,2881,0.769427251755637
142.5,2881,2919,0.79883867571194
145,2919,2959,0.706193459397462
147.5,2959,2999,0.854948510022826
150,2999,3046,1.27179816447139
152.5,3046,3077,1.17353963704833
155,3077,3115,1.30558314388712
157.5,3115,3154,1.08886418448048
160,3154,3192,1.05758163925283
162.5,3192,3230,1.20361272865051
165,3230,3268,1.22048061917916
167.5,3268,3306,1.32485971467206
170,3306,3345,1.34207134040671
172.5,3345,3384,1.29227437173
175,3384,3422,1.24507556883981
177.5,3422,3460,1.37547480849632
