"",".id","lag","MI_xy","MI_tv","sig"
"1","pollen",-4,0.026,0.073,0
"2","pollen",-3,0.014,0.073,0
"3","pollen",-2,0.013,0.072,0
"4","pollen",-1,0.014,0.07,0
"5","pollen",0,0.016,0.067,0
"6","agropast",-4,0.078,0.071,1
"7","agropast",-3,0.059,0.077,0
"8","agropast",-2,0.036,0.072,0
"9","agropast",-1,0.019,0.072,0
"10","agropast",0,0.032,0.062,0
"11","titanium",-4,0.024,0.078,0
"12","titanium",-3,0.025,0.07,0
"13","titanium",-2,0.024,0.071,0
"14","titanium",-1,0.02,0.074,0
"15","titanium",0,0.033,0.06,0
