"depth","upper_age","lower_age","PrC"
0,-59,-53,0.34644965781097
2.5,-53,-46,0.176628745191769
5,-46,212,0.398790776312491
7.5,212,469,0.106497491518781
10,469,535,0.360971583517269
12.5,535,600,0.148118749095077
15,600,670,0.214234986353948
17.5,670,740,0.343586460010511
20,740,810,0.262556444097638
22.5,810,881,0.197235878026403
25,881,945,0.30063356366433
27.5,945,1010,0.188800101959605
30,1010,1050,0.178538246457385
32.5,1050,1142,0.330768662237358
35,1142,1205,0.231866679052809
37.5,1205,1267,0.23599469237715
40,1267,1318,0.501193371556916
42.5,1318,1368,0.255444727396682
45,1368,1406,0.186991172857261
47.5,1406,1445,0.242026012167402
50,1445,1483,0.398562429639968
52.5,1483,1521,0.221727472606994
55,1521,1561,0.400603078489621
57.5,1561,1601,0.185269693363009
60,1601,1640,0.380254526126365
62.5,1640,1680,0.270286985268653
65,1680,1719,0
67.5,1719,1758,0.396646184161359
70,1758,1797,0.200091123627706
72.5,1797,1836,0.0878042946141957
75,1836,1875,0.426797039522574
77.5,1875,1914,0.125607109149002
80,1914,1953,0.20604882354053
82.5,1953,1992,0.385803131725067
85,1992,2030,0.254184394213893
87.5,2030,2068,0.211178811290699
90,2068,2106,0.421032149466059
92.5,2106,2144,0.287285503713919
95,2144,2183,0.289021016843364
97.5,2183,2222,0.47312386006671
100,2222,2261,0.101264435849079
102.5,2261,2299,0.448301395065834
105,2299,2338,0.131525083229784
107.5,2338,2377,0.453176190724768
110,2377,2415,0.179433576928623
112.5,2415,2454,0.619079751444788
115,2454,2493,0.522681904469791
117.5,2493,2533,0.423354162110019
120,2533,2571,0.486841929866314
122.5,2571,2609,0.511901430604765
125,2609,2650,0.592181534678255
127.5,2650,2690,0.550986692964373
130,2690,2727,0.593772574329726
132.5,2727,2765,0.550648476727294
135,2765,2804,0.563633973645102
137.5,2804,2842,0.557234435115196
140,2842,2881,0.476901672604667
142.5,2881,2919,0.619046000837837
145,2919,2959,0.688511657872168
147.5,2959,2999,0.484197903653448
150,2999,3046,0.594905364817269
152.5,3046,3077,0.582012904026242
155,3077,3115,0.639000437838404
157.5,3115,3154,0.683513623033863
160,3154,3192,0.572317013979414
162.5,3192,3230,0.661541503028582
165,3230,3268,0.620290440191952
167.5,3268,3306,0.531947325391642
170,3306,3345,0.525579559681088
172.5,3345,3384,0.582158947771825
175,3384,3422,0.577020435856922
177.5,3422,3460,0.52631097310225
