"","Age","Ti","elapsedTime_ti","elapsedTime_diat","diatPrC","pollenPrC","agropastPrC"
"1",-63,NA,6,4,2.2234863414626,0.346449658073017,0.764648083634862
"2",-59,NA,7,4,2.2234863414626,0.176628747696414,0.867067033440335
"3",-55,5.3171185575,258,4,2.2234863414626,0.39879077754679,0.8840269718186
"4",-51,5.215331886,257,5,2.2234863414626,0.106497490982175,0.225453016553838
"5",-46,4.7049594505,66,4,2.2234863414626,0.360971581417737,0.0455453412953278
"6",-42,4.466545016,65,4,2.2234863414626,0.14811875042268,0
"7",-38,11.0688888833333,70,3,1.90713455005948,0.214234990082681,0
"8",-35,7.904355350375,70,4,2.3675455082903,0.343586463955549,0.098000399478821
"9",-31,7.654770935125,70,3,2.38468059085782,0.262556447883707,0.140928379854806
"10",-28,7.4675826236875,71,3,2.54467979981556,0.197235878959586,0
"11",-25,7.28039431225,64,4,2.59298212675923,0.300633566959127,0.0309924035397073
"12",-21,7.030809897,65,6,2.58721543823003,0.18880010386023,0.0213108176281981
"13",-15,6.872011199625,40,2,2.59275614719189,0.178538247067396,0.0762299419416382
"14",-13,6.8190783005,92,5,2.58961290322672,0.330768663650058,0
"15",-8,6.6867460526875,63,2,2.65993326643184,0.231866681060375,0.109774683648548
"16",-6,6.6338131535625,62,9,2.63027946774306,0.235994696003833,0.127890345447896
"17",3,6.9016721795,51,6,2.59493275854417,0.5011933754002,0.150167004822989
"18",9,7.122416286125,50,2,1.88983793748533,0.25544472847113,0.0157209385526536
"19",11,7.195997655,38,5,1.74212630314657,0.186991171068198,0.0360501332260047
"20",16,7.282118150625,39,8,1.62818518029503,0.242026013058525,0.0490384101742976
"21",24,7.419910943625,38,11,1.54576666823299,0.398562427639689,0.303429274835093
"22",35,7.5785013875,38,10,1.60171773948122,0.221727473829746,0.792499185549119
"23",45,7.6825825445,40,1,1.57714417465561,0.400603079882683,0.678131762974542
"24",46,7.68116404975,40,8,1.71717509903231,0.185269694917549,0.211641905007388
"25",54,7.66981609175,39,9,1.50981163995681,0.380254525368809,0.648678268838258
"26",63,7.58793063106667,40,8,1.39914628683593,0.270286984204825,0.197825584458381
"27",71,7.4383446572,39,7,1.78976508332185,0,0.804578824282996
"28",78,7.30086331675,39,7,1.52649652653778,0.396646184180117,0.80285846351358
"29",85,7.1584367663125,39,3,1.48135241357608,0.200091124979495,0.84189521279694
"30",88,7.097396816125,39,5,1.26388404120902,0.0878042953878617,0.804965470497237
"31",93,7.0552977210625,39,6,0.939847283274996,0.426797039442141,0.850125781219053
"32",104,7.050143139625,39,6,0.979957861255913,0.125607109451371,0.804578824282996
"33",114,6.853181193,39,1,0.867894777790941,0.206048823889833,0.8097681796961
"34",115,6.82867809925,39,6,1.08421279689124,0.385803132968544,0.726324549838421
"35",121,6.68165953675,38,2,0.997654213949387,0.254184396941869,0.828105709857391
"36",126,6.706349605,38,1,0.862849272172178,0.211178812543097,0.817365646581123
"37",127,6.7186478955,38,8,0.94301038239187,0.421032148277486,0.896886299447135
"38",144,6.797626303375,38,10,0.825029261499826,0.287285508073531,0.816397836274793
"39",166,6.376798842,39,14,0.959718953293847,0.289021018198854,0.793884927179212
"40",180,6.48233341733333,39,4,0.915917600570736,0.47312386160099,0.861531649412401
"41",200,6.356420878875,39,18,1.05954256930856,0.101264436842982,0.197825584458381
"42",218,6.593144877875,38,21,0.822551222292111,0.448301394965685,0.95442197466746
"43",251,5.4569212005,39,11,0.858002689189682,0.131525083721504,0.824178585898991
"44",262,5.19637145225,39,26,0.82477818314154,0.453176190164163,0.988117768959444
"45",317,3.8336609535,38,32,0.871299813253527,0.179433577302663,0.881361959524736
"46",385,2.6794483761875,39,39,0.994867742804532,0.619079751244944,0.982251900299355
"47",445,2.70871809025,39,11,1.07969794879232,0.522681905795614,0.927854104872731
"48",456,3.073857535375,40,45,1.11764608484998,0.423354163816752,1.05379796059775
"49",501,2.940658860875,38,18,1.02351051071597,0.486841930113875,0.984792272782432
"50",540,3.68577127025,38,47,0.84229657327744,0.511901430155065,1.02834133142893
"51",587,4.23094900925,41,45,0.833569635473356,0.592181536104772,1.24062097354428
"52",632,4.56214954873333,40,49,1.18779192749951,0.550986695256588,0.553153640912736
"53",724,7.5007541943125,37,63,1.01452868903048,0.593772574408691,0.906989612492662
"54",787,3.31372495266667,38,63,1.01134090934658,0.550648478344772,0.673499370997288
"55",914,2.595038877,39,56,1.10525591764101,0.563633976021606,0.327873180407956
"56",1038,2.592002947,38,59,1.00275661103554,0.557234436112059,0.305726481269829
"57",1155,3.514110908,39,51,0.80091519573842,0.476901672974647,0.685311185964763
"58",1255,3.343288067,38,53,0.760612359615106,0.619046001887559,0.843375080341819
